epoch,accuracy,learning_rate,loss,mae,mse,val_accuracy,val_loss,val_mae,val_mse
0,0.805014431476593,0.004999999888241291,0.08661796152591705,0.19544224441051483,0.08661796152591705,0.8937522172927856,0.017076563090085983,0.10622444748878479,0.017076563090085983
1,0.9172317981719971,0.004999999888241291,0.011318880133330822,0.08253026753664017,0.011318880133330822,0.9373036623001099,0.006437831092625856,0.06269703060388565,0.006437831092625856
2,0.9371926188468933,0.004999999888241291,0.006470458582043648,0.06264572590589523,0.006470458582043648,0.9480986595153809,0.004312934819608927,0.05189800634980202,0.004312934819608927
3,0.948695719242096,0.004999999888241291,0.0042847804725170135,0.051332734525203705,0.0042847804725170135,0.9510253071784973,0.004197738599032164,0.04897864907979965,0.004197738599032164
4,0.953194797039032,0.004999999888241291,0.0035442919470369816,0.04664643108844757,0.0035442919470369816,0.95743727684021,0.0031539248302578926,0.04258054494857788,0.0031539248302578926
5,0.9586695432662964,0.004999999888241291,0.002710149623453617,0.041107188910245895,0.002710149623453617,0.9715923070907593,0.001372932456433773,0.0283867958933115,0.001372932456433773
6,0.9597432017326355,0.004999999888241291,0.0025845193304121494,0.04018702358007431,0.0025845193304121494,0.9713797569274902,0.0013793964171782136,0.028622273355722427,0.0013793964171782136
7,0.964377224445343,0.004999999888241291,0.0020875465124845505,0.035617683082818985,0.0020875465124845505,0.975881814956665,0.0009738245862536132,0.024127690121531487,0.0009738245862536132
8,0.9668594002723694,0.004999999888241291,0.0017674106638878584,0.03305326774716377,0.0017674106638878584,0.975322425365448,0.0011343791848048568,0.024670744314789772,0.0011343791848048568
9,0.966309666633606,0.004999999888241291,0.0018342324765399098,0.03363395482301712,0.0018342324765399098,0.9740391373634338,0.001115036546252668,0.02596130035817623,0.001115036546252668
10,0.9654223322868347,0.004999999888241291,0.0019111577421426773,0.0344778373837471,0.0019111577421426773,0.9810624122619629,0.0006403268780559301,0.018929118290543556,0.0006403268780559301
11,0.9688786864280701,0.004999999888241291,0.0015540337190032005,0.03114951029419899,0.0015540337190032005,0.9762706756591797,0.0008881643298082054,0.023730797693133354,0.0008881643298082054
12,0.9697748422622681,0.004999999888241291,0.0014874410117045045,0.030053619295358658,0.0014874410117045045,0.9837453961372375,0.00044951660674996674,0.016261853277683258,0.00044951660674996674
